Planet,Mass,Diameter,MeanDensity,EscapeVelocity,AverageDistanceFromSun,RotationPeriod,RevolutionPeriod,Obliquity,OrbitInclination,MeanSurfaceTemperature
Mercury,3.3 x 1023,4879.4,5420,4300,0.387,58.65,87.97,,7,452
Venus,4.87 x 1024,12104,5250,10400,0.723,243.02,224.7,,3.39,726
Earth,5.98 x 1024,12756,5520,11200,1,1,365.26,,0,281
Mars,6.42 x 1023,6787,3940,5000,1.524,1.026,686.98,25,1.85,210
Jupiter,1.90 x 1027,142800,1314,59500,5.203,0.41,4331,3.08,1.3,120
Saturn,5.69 x 1026,120660,690,35600,9.537,0.44,10760.56,26.7,2.49,88
Uranus,8.68 x 1025,51118,1290,21300,19.19,0.72,30685,97.9,0.77,59
Neptune,1.02 x 1026,49528,1640,23300,30.07,0.67,60190,29.6,1.77,48
Pluto,1.29 x 1022,2300,2030,1100,39.48,6.39,90555.26,122.5,17.15,37
